Region,Season,Distance,Pos,S,SW,W,NW,N,NE,E,SE
6,Heating,7,2to3,0.645690646,0.597883727,0.598167298,0.650440468,0.676774151,0.656177871,0.597854129,0.570617726
6,Heating,6,2to3,0.551636157,0.528719264,0.537583027,0.601650643,0.62598715,0.602530995,0.53334866,0.499872268
6,Heating,5,2to3,0.424206655,0.452202963,0.461955308,0.53719423,0.555342379,0.530810577,0.454261608,0.420502225
6,Heating,4,2to3,0.310409998,0.364679913,0.374921972,0.450084447,0.465073157,0.444318972,0.362683044,0.329864265
6,Heating,3,2to3,0.205128425,0.247992985,0.262081527,0.329923373,0.344186263,0.335838626,0.25183468,0.222398627
6,Heating,2,2to3,0.094232346,0.112507713,0.13654527,0.184012518,0.186959345,0.186728612,0.13338051,0.106506142
6,Heating,1,2to3,0.019974048,0.02992589,0.040714461,0.0633421,0.061409025,0.063701977,0.036002896,0.026340974
6,Heating,40,3to3,0.983482296,0.979399444,0.972149033,0.955210008,0.945645547,0.957453022,0.974980686,0.981367792
6,Heating,25,3to3,0.974881277,0.969611511,0.962874224,0.953824956,0.950323001,0.954045439,0.964767785,0.972011475
6,Heating,19,3to3,0.966780915,0.96079406,0.952887797,0.949355341,0.951788215,0.947147784,0.954569319,0.963679827
6,Heating,13,3to3,0.954835358,0.937661087,0.931476107,0.933092854,0.944934213,0.928768977,0.931953252,0.940690983
6,Heating,9,3to3,0.938703395,0.907778787,0.895421213,0.901870953,0.920160877,0.896654411,0.896333708,0.909302862
6,Heating,7,3to3,0.921908924,0.869437495,0.853947327,0.870714309,0.889942935,0.864754438,0.856690776,0.869783302
6,Heating,6,3to3,0.910070618,0.845448591,0.832450882,0.849206933,0.869453252,0.842594144,0.834557786,0.846707847
6,Heating,5,3to3,0.884728113,0.815725125,0.792211074,0.813286948,0.837810371,0.811527652,0.793101995,0.809741573
6,Heating,4,3to3,0.820081279,0.756921772,0.734072957,0.77133489,0.794370416,0.77023895,0.739392124,0.749364672
